5690,1111,1111,1111,,0,1,1111,22,0,0,0,0,0,1,1,0
5692,122,122,122,,0,1,122,122,1,1,1,0,0,0,0,1
5693,12,11,11,,0,0,11,11,1,0,0,1,0,0,0,0
5694,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5695,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5696,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5698,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5699,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5700,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5701,12,11,11,,0,0,11,11,1,0,0,1,0,0,0,0
5702,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5705,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5706,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5707,12,12,12,,0,1,12,12,1,1,1,0,0,0,0,1
5708,111,111,111,,0,1,111,111,1,1,1,0,0,0,0,1
5709,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5710,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5711,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5712,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5713,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5722,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5723,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5724,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5725,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5726,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5727,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5728,112,112,112,,0,1,112,112,1,1,1,0,0,0,0,1
5729,122,122,122,,0,1,122,122,1,1,1,0,0,0,0,1
5730,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5731,111,111,111,,0,1,111,111,1,1,1,0,0,0,0,1
5734,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5735,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5737,112,112,112,,0,1,112,22,0,0,0,0,0,1,1,0
5738,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5739,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
5740,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5741,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0,1
5742,11,11,11,,0,1,11,11,1,1,1,0,0,0,0,1
5743,113,113,113,,0,1,113,113,1,1,1,0,0,0,0,1
