5690,1111,1111,1111,,0,1,1111,1111,1,1,1,0,0,0,0
5692,122,122,122,,0,1,122,122,1,1,1,0,0,0,0
5693,12,11,11,,0,0,11,11,1,0,0,1,0,0,0
5694,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5695,112,112,112,,0,1,112,112,1,1,1,0,0,0,0
5696,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5698,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5699,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5700,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5701,12,11,11,,0,0,11,11,1,0,0,1,0,0,0
5702,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5705,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5706,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5707,12,12,12,,0,1,12,12,1,1,1,0,0,0,0
5708,111,111,111,,0,1,111,111,1,1,1,0,0,0,0
5709,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5710,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5711,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5712,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5713,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5722,112,112,112,,0,1,112,112,1,1,1,0,0,0,0
5723,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5724,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5725,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0
5726,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5727,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5728,112,112,112,,0,1,112,112,1,1,1,0,0,0,0
5729,122,122,122,,0,1,122,122,1,1,1,0,0,0,0
5730,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5731,111,111,111,,0,1,111,111,1,1,1,0,0,0,0
5734,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5735,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5737,112,112,112,,0,1,112,122,0,0,0,0,0,1,1
5738,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5739,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5740,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5741,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0
5742,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5743,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5744,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0
5745,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5746,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5747,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5748,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5749,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5750,112,112,112,,0,1,112,112,1,1,1,0,0,0,0
5751,112,112,112,,0,1,112,112,1,1,1,0,0,0,0
5752,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5753,112,112,112,,0,1,112,112,1,1,1,0,0,0,0
5755,111,111,111,,0,1,111,111,1,1,1,0,0,0,0
5756,112,112,112,,0,1,112,112,1,1,1,0,0,0,0
5757,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5758,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5759,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5760,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5761,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5763,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5764,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5765,12,12,12,,0,1,12,12,1,1,1,0,0,0,0
5767,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5769,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5770,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5772,112,122,112,2,1,1,122,122,1,0,0,0,0,1,0
5775,111,111,111,,0,1,111,111,1,1,1,0,0,0,0
5776,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5777,112,113,112,3,1,1,113,113,1,0,0,0,0,1,0
5778,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5779,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5780,112,112,112,,0,1,112,112,1,1,1,0,0,0,0
5781,12,12,12,,0,1,12,12,1,1,1,0,0,0,0
5783,11,12,11,2,1,1,12,12,1,0,0,0,0,1,0
5784,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5786,112,112,112,,0,1,112,112,1,1,1,0,0,0,0
5787,113,123,113,2,1,1,123,122,0,0,0,0,0,1,0
5788,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5789,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5790,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5791,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5792,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5793,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5794,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
5795,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5796,22,22,22,,0,1,22,22,1,1,1,0,0,0,0
5799,113,113,113,,0,1,113,113,1,1,1,0,0,0,0
5801,11,11,11,,0,1,11,11,1,1,1,0,0,0,0
